COD_ESTRATOS20;den_tot_alto;den_tot_bajo;den_total
1;350;471;821
3;79;420;499
6;156;301;457
73;1048;33;1082
4;133;526;659
71;844;194;1039
56;1089;0;1089
83;1156;6;1162
72;724;23;748
77;1045;94;1139
70;954;55;1010
52;1019;48;1067
78;1064;84;1148
5;492;153;645
76;490;168;659
54;1121;0;1121
79;912;94;1007
2;112;459;572
82;984;90;1075
80;951;132;1084
65;813;0;813
75;905;6;911
58;874;39;914
74;507;2;509
61;931;0;931
55;872;17;890
63;699;1;700
66;297;93;391
69;204;75;279
48;363;34;398
50;422;12;435
36;168;31;200
32;86;35;122
45;307;15;322
47;321;13;335
26;586;0;586
10;174;116;290
35;144;52;196
22;100;14;114
62;1299;0;1299
68;457;45;502
40;828;141;969
46;322;0;322
81;338;84;422
